"citation_key","inclusion_1","inclusion_2","ec_quality","ec_research_availability","ec_dt_for_non_security_case","ec_dt_missing","ec_not_IOT_CPS_context","ec_dt_for_security","ec_complete_book","comment"
"Wurldtech2018","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Wymore1993","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Xi2021","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Xia2021","yes","no","no","no","yes","no","no","no","no","-"
"Xiangdong2020","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Xiao2017","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Xiao2019","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Xiao2021","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Xiaoya2017","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Xiaoyu2020","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Xie2016","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Xie2019","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Xie2020","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Xie2021","yes","no","no","no","yes","no","no","no","no","-"
"XieNA","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Xin2020","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Xing2021","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Xinxin2019","yes","yes","no","no","no","no","no","no","no","-"
"Xiong2015","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Xiong2019","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Xiong2021","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Xu2014","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Xu2015","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Xu2017","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Xu2018","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Xu2018a","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Xu2019","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Xu2020","yes","no","no","no","yes","no","no","no","no","-"
"Xu2020a","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Xu2020ab","yes","yes","no","no","no","no","no","no","no","-"
"Xu2020abc","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Xu2021","yes","yes","no","no","no","no","no","no","no","-"
"Xu2021a","yes","no","no","yes","no","no","no","no","no","-"
"Xu2021c","yes","no","no","no","no","no","no","yes","no","-"
"Xu2021d","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Xu2021e","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Xuan","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Xue2001","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Xun2012","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Yaacoub2021","yes","no","no","no","yes","yes","no","no","no","-"
"Yadav2020","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Yadikin2021","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Yaghmaee2018","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Yalcinkaya2021","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Yamanaka2020","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Yamin2020","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Yampolskiy2014","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Yampolskiy2016","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Yampolskiy2018","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Yampolskiy2018a","yes","no","no","no","no","yes","no","no","no","-"
"Yan2012","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Yan2017","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Yan2020","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Yan2021","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Yang2010","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Yang2012","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Yang2013","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Yang2014","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Yang2015","yes","no","no","no","no","yes","no","no","no","-"
"Yang2018","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Yang2018a","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Yang2019","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Yang2020","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Yang2021","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Yang2021a","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Yang2021b","yes","no","no","no","no","yes","no","no","no","-"
"Yang2022","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Yao2017","yes","no","no","no","no","yes","no","no","no","-"
"Yao2017a","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Yao2017ab","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Yaqoob2020","yes","no","no","no","no","no","no","yes","no","-"
"Yaqoob2021","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Yaseen2018","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Yaseen2021","yes","no","no","no","no","yes","no","no","no","-"
"Yazdanian2014","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Ye2004","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Ye2020","yes","no","no","no","yes","no","no","no","no","-"
"Yeckle2017","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Yeni2019","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Yihai2014","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Yildirim2020","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Yildirim2020a","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Yilin2010","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Yilin2012","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Yilin2012a","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Yilin2016","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Yin2015","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Yin2017","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Yin2021","yes","no","no","no","no","no","no","yes","no","-"
"Yingfeng2010","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Yinkabanjo2019","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Yiqi2014","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Yliojanper2019","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Ylnen2020","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Yogesh2008","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Yoginath2019","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Yohanandhan2021","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Yohanandhan2022","yes","no","no","no","yes","no","no","no","no","-"
"Yohanandhan2022a","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Yoo2019","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"Yoshiuchi2021","no","NA","NA","NA","NA","NA","NA","NA","NA","-"
"You2018","yes","no","no","no","no","yes","no","no","no","-"
